Price,Close,High,Low,Open,Volume
Ticker,A,A,A,A,A
Date,,,,,
2020-01-02,82.71106719970703,83.09599511432788,81.98933011300142,82.66295579906024,1410500
2020-01-03,81.38309478759766,82.11445728156497,81.31573293564614,81.47932495582964,1118300
2020-01-06,81.6236572265625,81.6236572265625,80.44963032473575,80.83455826102333,1993200
2020-01-07,81.87385559082031,82.04707278258213,80.77681582362521,80.79605891520355,1684700
2020-01-08,82.68218994140625,83.21146668445708,81.98932123846281,82.72068346289072,1847600
2020-01-09,83.98131561279297,84.3951117939738,82.92276946197111,83.20184198805944,1912700
2020-01-10,84.28924560546875,84.91475240475418,84.0294235445991,84.4143513704584,1417000
2020-01-13,84.16419219970703,84.99178489830271,83.47132321093935,84.501001474277,1630200
2020-01-14,84.6741714477539,84.88588211411138,83.43278309292934,83.98130284581578,1675200
2020-01-15,85.28047180175781,85.75200472557879,84.25079367070104,84.32777339364792,1630400
2020-01-16,86.08879089355469,86.11765919966223,85.51140274573804,85.76160696848441,1595900
2020-01-17,86.72393798828125,86.87790476143539,85.84822672822055,86.57958909089993,3718300
2020-01-21,86.2331314086914,86.75278289393091,86.08878255025466,86.41597378550381,2697400
2020-01-22,86.73353576660156,87.22431896722028,86.45446325416692,86.55070072471474,1665800
2020-01-23,85.7135009765625,86.58921221545476,85.31895516460678,86.24277780686988,1228300
2020-01-24,84.93401336669922,86.08878964559263,84.27963818415601,86.07916442973342,1164500
2020-01-27,83.2980728149414,83.88508617782682,82.961263674406,83.27882972486307,1868000
2020-01-28,83.89470672607422,84.18340445440693,82.94201596959743,83.57714069328588,1652200
2020-01-29,83.95243072509766,85.03022709484512,83.86582582473906,84.25075362406938,1131500
2020-01-30,81.20022583007812,81.82573273229748,80.44962048417044,81.70063428860914,3026700
2020-01-31,79.44882202148438,81.16174365904197,79.23711128571617,80.86342799058121,2850400
2020-02-03,79.05426788330078,80.53623553583058,79.01577435885842,80.15130763329611,1919800
2020-02-04,80.37262725830078,80.73831202877736,79.66051549025481,79.72787731504445,1676000
2020-02-05,81.72949981689453,82.2780196542473,81.20984828542002,81.34457194077764,2345100
2020-02-06,81.6236572265625,82.17217714965814,81.39270340154583,82.09519009402267,835500
2020-02-07,80.03582763671875,81.59478234936732,79.79524861363718,81.42156515907303,1447600
2020-02-10,81.24834442138672,81.45042991092527,79.80487034592105,79.9107256988063,2066900
2020-02-11,81.88346099853516,82.44160601388636,81.6428820100446,81.82572439070161,1543200
2020-02-12,82.21066284179688,82.81691932789062,82.0759391782205,82.1817945341575,1464200
2020-02-13,82.24913787841797,82.45122332835885,81.46966437980497,81.89307836649125,1596300
2020-02-14,82.58597564697266,82.62446917583941,81.91235724652921,82.48974549575073,1965400
2020-02-18,81.59477233886719,82.83616082669428,81.34456812982985,82.4319898795566,2872500
2020-02-19,82.13367462158203,82.60520743737136,80.30527263099073,81.50816771139436,4741300
2020-02-20,81.16172790527344,81.78723477356927,80.21866233685435,81.70062985768705,2543600
2020-02-21,81.86422729492188,81.88347038577642,80.25716122962177,80.73831926176352,1762500
2020-02-24,77.4664535522461,79.47769087191776,77.00453854908065,79.12163857924492,2919200
2020-02-25,75.01254272460938,77.83212940427343,74.76234580587,77.65891219951322,2768000
2020-02-26,75.16650390625,77.24510266392339,75.14725347464935,75.69578064694079,2526000
2020-02-27,74.51212310791016,77.27397248322349,73.49207056666353,73.79038615697802,2879400
2020-02-28,74.16569519042969,74.16569519042969,71.37497727072325,72.14483302163832,3755600
2020-03-02,78.88104248046875,78.90991078532223,74.32928464010406,74.39664646539161,3407500
2020-03-03,77.29322814941406,81.7968677497836,76.29241853356649,78.80406411888157,3017200
2020-03-04,81.1713638305664,81.24835088276706,77.67815893321782,78.68858646126606,1905300
2020-03-05,77.42797088623047,80.11283432294528,76.69660842106632,79.04466261128806,2322600
2020-03-06,75.59953308105469,75.92672429759327,73.61716472034229,75.01251980769834,2959900
2020-03-09,68.08387756347656,71.39424795271704,67.52573235284589,69.85453601416476,4598200
2020-03-10,70.16246795654297,70.84571148296425,67.03494073935167,70.29719161854779,3537300
2020-03-11,66.24583435058594,69.02693453129838,65.0236961792033,68.09348677410847,4985900
2020-03-12,61.03007507324219,64.6098915400808,59.8175586056371,61.5882200797682,5055000
2020-03-13,66.59226989746094,66.89059287518548,61.347650190481296,64.02288772212475,3261200
2020-03-16,61.713321685791016,64.10949378278625,58.82637739187299,61.020456670466125,4742800
2020-03-17,67.7855453491211,67.8721502700737,61.53048731278543,63.53210280081952,3341800
2020-03-18,66.27471160888672,67.2466455713902,62.723762895552674,62.73338811215948,4123900
2020-03-19,63.281917572021484,66.00526693304725,61.75183094294136,65.95715552650536,3430700
2020-03-20,63.95552444458008,68.32444023650434,62.51205035507647,63.503234721833394,3258400
2020-03-23,60.98196792602539,65.01407091120463,59.750204539247754,64.28271598898597,2989600
2020-03-24,64.47517395019531,65.61070715821758,62.165614011959846,63.06056821270526,2868900
2020-03-25,66.39979553222656,69.08465771086048,62.656387356963634,64.59064432602221,2628100
2020-03-26,70.94193267822266,71.64441920699285,67.02530707364359,67.36211618619697,3267500
2020-03-27,68.23784637451172,70.45116926532931,67.63158245985446,68.85372816516444,1829800
2020-03-30,70.10948944091797,70.60152178281743,68.55621678871704,68.55621678871704,1486200
2020-03-31,69.09646606445312,70.23488896190986,68.01592670668282,69.7910906224067,1822100
2020-04-01,66.49160766601562,67.75545492826657,65.74874179173895,67.02223140519428,2173600
2020-04-02,69.74285888671875,69.8972174507075,65.73908288542572,65.86449967870234,1840300
2020-04-03,67.93876647949219,69.7814716221948,67.2055501962178,69.18331452318971,2052600
2020-04-06,71.73991394042969,72.34771313854615,69.70425954346344,70.39889140449459,2312000
2020-04-07,71.42155456542969,74.82717397092344,71.41190485409192,73.91065012930957,2458000
2020-04-08,73.98783111572266,74.4509141994996,70.18665461357003,71.55661916388847,2703000
2020-04-09,75.5700454711914,75.94630323859242,73.54404040966917,73.7369904686435,2399900
